hours_study,attendance_rate,gpa_prev,extra_activities,sleep_hours,social_media_hours,gender,city,passed
16.8,80.4,2.84,5,6.4,0.5,Male,Alexandria,1
28.0,75.2,3.19,2,4.2,3.1,Female,Alexandria,1
20.3,87.0,3.25,2,7.4,3.8,Female,Cairo,1
13.0,96.9,3.73,1,7.5,0.7,Male,Cairo,1
14.4,80.2,2.17,0,5.7,1.3,Male,Cairo,1
26.8,73.7,3.51,0,7.7,3.6,Female,Cairo,1
20.9,,2.57,3,6.0,1.8,Male,Cairo,1
20.3,80.5,2.34,0,5.8,1.6,Male,Cairo,1
19.7,72.7,,5,7.0,3.2,Female,Alexandria,1
20.2,87.4,2.67,1,6.2,2.7,Female,Alexandria,1
24.8,89.3,2.21,4,9.8,4.1,Female,Giza,1
23.3,77.9,,1,5.1,3.6,Female,Alexandria,1
21.3,92.9,2.23,3,7.9,1.6,Male,Cairo,1
13.7,80.1,3.67,3,8.2,2.3,Male,Giza,1
23.1,75.8,3.98,2,4.6,2.3,Female,Alexandria,1
15.9,,3.19,1,4.9,0.4,Female,Giza,1
26.6,92.7,3.51,2,7.7,1.0,Female,Cairo,1
,78.7,2.49,1,6.4,3.9,Male,Giza,1
19.2,88.3,2.75,1,7.5,0.0,Male,Alexandria,1
20.0,84.1,,1,8.4,3.9,Male,Cairo,1
12.1,100.0,,4,6.6,2.9,Male,Cairo,1
30.3,77.9,2.21,2,5.7,2.2,Male,Cairo,1
28.8,98.8,2.86,4,3.7,3.2,Male,Cairo,1
17.2,84.5,,3,7.2,3.2,Male,Cairo,1
,83.7,2.16,2,5.9,4.3,Male,Cairo,1
22.3,92.2,3.03,4,7.4,,Male,Alexandria,1
4.3,,2.64,5,7.3,2.1,Female,Cairo,1
21.5,97.7,3.41,0,5.3,2.1,Female,Cairo,1
19.6,88.3,2.8,3,9.1,5.3,Female,Cairo,1
20.5,79.0,2.62,1,8.3,3.9,Female,Cairo,1
13.5,79.6,2.88,4,8.0,1.0,Male,Cairo,1
18.4,90.1,2.7,2,5.6,1.9,Male,Cairo,1
18.9,90.8,2.4,1,6.5,1.4,Male,Alexandria,1
27.1,99.0,2.56,2,6.3,2.5,Female,Cairo,1
22.0,89.2,3.25,1,6.5,2.8,Female,Giza,1
20.0,95.6,3.19,4,5.7,5.9,Female,Giza,1
29.2,100.0,3.57,1,7.5,0.0,Male,Alexandria,1
,86.6,1.78,5,7.3,4.0,Female,Cairo,0
17.7,70.1,2.56,5,7.4,3.1,Male,Cairo,1
9.1,73.2,,1,6.4,1.4,Female,Alexandria,0
29.4,,2.9,4,8.5,,Female,Giza,1
25.8,100.0,2.53,2,7.2,1.7,Female,Giza,1
25.5,76.5,2.49,5,3.7,2.5,Male,Alexandria,1
24.0,97.3,3.27,3,6.2,4.0,Male,Giza,1
20.7,90.9,2.91,4,6.9,0.2,Male,Cairo,1
21.3,100.0,2.1,5,8.2,4.4,Female,Alexandria,1
,95.0,3.6,4,6.6,1.9,Female,Alexandria,1
18.8,84.0,3.4,2,6.7,4.7,Female,Cairo,1
20.3,83.0,2.46,2,6.2,3.1,Male,Alexandria,1
29.1,85.9,3.3,1,7.8,4.3,Female,Alexandria,1
23.3,86.8,2.36,4,6.5,3.3,Male,Giza,1
19.6,79.7,3.48,0,6.3,,Female,Cairo,1
16.5,84.7,,0,6.1,2.5,Female,Cairo,1
16.2,100.0,2.32,0,7.7,1.2,Male,Cairo,1
29.6,68.0,2.58,3,6.4,3.5,Female,Cairo,1
23.0,87.6,2.34,2,5.0,3.5,Female,Cairo,1
,75.9,2.92,0,7.7,5.6,Male,Cairo,1
17.9,86.9,2.91,2,6.2,0.0,Male,Giza,1
13.3,93.4,2.82,5,7.4,2.1,Male,Cairo,1
19.6,84.4,2.47,2,7.4,4.0,Female,Alexandria,1
25.2,92.7,0.6,5,8.4,0.6,Male,Cairo,1
17.6,69.1,2.86,2,8.3,2.1,Male,Cairo,1
18.6,96.1,1.66,0,6.3,5.6,Female,Cairo,0
18.7,79.0,2.95,0,6.8,4.6,Male,Alexandria,1
20.7,,3.48,4,5.5,1.1,Female,Cairo,1
10.4,86.8,2.96,2,9.0,4.6,Male,Cairo,0
18.6,59.1,2.57,4,7.5,4.2,Male,Alexandria,1
14.9,77.4,2.69,4,8.7,3.6,Male,Cairo,1
25.3,87.2,2.72,0,6.6,3.0,Male,Giza,1
15.4,100.0,2.47,3,4.5,2.8,Female,Cairo,1
23.5,87.9,,3,8.8,1.1,Female,Cairo,1
29.1,87.6,,0,7.1,1.7,Male,Giza,1
18.1,70.9,3.51,2,7.2,3.6,Male,Cairo,1
16.4,,2.79,2,7.1,2.7,Male,Cairo,1
21.1,100.0,3.37,3,7.8,5.2,Female,Alexandria,1
20.0,85.3,2.65,3,7.6,2.0,Female,Alexandria,1
14.0,82.8,2.84,5,5.1,0.0,Male,Cairo,1
22.8,68.8,2.7,0,8.3,2.0,Male,Cairo,1
32.1,93.8,3.08,4,6.4,2.9,Male,Alexandria,1
18.5,,3.3,1,6.4,3.0,Male,Alexandria,1
18.8,92.2,2.94,1,9.1,2.6,Male,Cairo,1
13.7,97.6,2.4,2,8.1,1.2,Male,Alexandria,1
21.9,90.4,2.33,3,6.6,4.7,Female,Giza,1
12.5,75.1,,0,4.8,,Female,Alexandria,1
13.4,98.4,2.63,3,7.2,3.5,Female,Cairo,0
27.7,72.7,2.63,4,7.6,2.0,Female,Alexandria,1
14.6,82.9,3.68,0,6.9,0.7,Female,Alexandria,1
,87.8,3.45,5,5.5,4.6,Male,Cairo,1
29.1,,,0,6.1,0.0,Male,Giza,1
21.6,89.2,2.56,4,5.5,1.2,Male,Cairo,1
23.3,88.9,4.0,2,7.3,3.1,Male,Alexandria,1
31.7,77.4,3.04,2,8.0,1.9,Male,Cairo,1
75.4,72.1,,1,8.2,3.6,Male,Alexandria,1
16.4,85.6,2.7,3,6.1,2.3,Male,Alexandria,1
,77.9,,1,7.3,1.8,Male,Giza,1
20.3,71.9,2.0,1,7.7,5.7,Female,Alexandria,1
28.9,72.3,3.04,4,6.4,,Female,Cairo,1
,80.1,3.04,4,6.8,2.2,Female,Alexandria,1
14.3,66.5,,5,9.5,0.8,Male,Giza,1
14.9,71.5,2.1,3,7.2,1.3,Male,Alexandria,1
17.0,68.6,1.94,2,8.1,,Female,Giza,1
21.8,86.8,,4,6.5,3.3,Female,Alexandria,1
18.8,89.1,1.93,3,7.1,2.5,Female,Giza,1
21.3,100.0,3.34,5,4.9,1.4,Female,Cairo,1
21.8,70.0,3.49,4,7.0,3.5,Female,Giza,1
18.2,78.2,4.0,5,8.4,0.0,Female,Alexandria,1
19.8,94.1,,4,9.5,2.0,Male,Giza,1
21.2,82.8,2.44,5,8.4,2.1,Male,Cairo,1
19.5,81.7,2.28,3,7.8,1.2,Female,Alexandria,1
23.0,100.0,0.73,3,7.1,2.7,Male,Giza,1
31.2,81.6,2.44,0,6.3,1.5,Male,Alexandria,1
23.6,73.4,2.69,1,6.8,1.3,Male,Cairo,1
20.3,71.8,3.38,5,7.7,5.2,Male,Cairo,1
9.9,88.4,,3,6.1,3.6,Male,Giza,1
22.3,88.1,3.15,0,8.1,4.3,Female,Alexandria,1
8.3,71.3,2.93,0,5.8,2.6,Female,Cairo,1
11.5,75.1,3.2,1,4.9,3.9,Female,Cairo,1
25.1,90.3,3.67,1,5.8,3.7,Female,Alexandria,1
,90.8,2.16,3,5.0,4.3,Male,Cairo,1
19.1,78.6,2.53,1,5.4,6.0,Female,Alexandria,1
9.7,91.2,1.97,3,8.4,2.1,Male,Alexandria,1
17.8,90.7,3.77,4,6.8,2.9,Male,Cairo,1
15.9,67.2,3.58,4,7.3,2.4,Male,Cairo,0
23.8,81.9,3.25,4,8.4,,Female,Giza,1
33.5,89.2,2.08,1,8.5,0.4,Female,Cairo,1
21.3,79.3,2.9,5,6.4,2.5,Female,Cairo,1
15.3,63.6,2.66,5,8.6,3.4,Female,Giza,1
13.0,82.2,2.85,0,7.5,1.6,Male,Alexandria,1
19.7,92.5,2.69,3,7.0,4.2,Female,Alexandria,1
18.9,100.0,3.11,2,7.5,4.4,Female,Giza,1
13.1,63.1,,5,5.3,1.9,Male,Cairo,0
20.7,100.0,3.31,4,6.1,4.6,Female,Cairo,1
13.1,73.7,,2,6.9,5.1,Male,Giza,1
26.7,94.6,2.62,2,7.7,3.2,Male,Alexandria,1
26.4,97.3,2.73,0,6.6,1.0,Female,Cairo,1
26.5,94.8,2.54,2,6.8,4.7,Male,Alexandria,1
17.2,86.5,3.29,0,8.2,,Male,Cairo,1
23.1,73.4,2.64,5,8.7,1.9,Male,Cairo,1
19.2,91.3,2.98,3,7.9,,Female,Alexandria,1
17.7,77.8,2.56,3,8.5,1.7,Female,Giza,1
18.0,59.8,1.91,2,6.5,4.1,Female,Cairo,0
12.2,100.0,3.34,3,6.6,3.7,Male,Cairo,1
11.3,92.1,2.17,2,7.4,4.3,Male,Cairo,1
24.8,100.0,3.21,5,6.6,3.4,Male,Cairo,1
18.9,75.9,3.05,1,6.4,,Female,Alexandria,1
21.3,99.7,1.81,2,9.0,2.3,Male,Alexandria,1
26.0,100.0,2.23,1,6.8,3.8,Male,Alexandria,1
9.6,100.0,2.49,4,5.8,,Male,Giza,1
15.3,84.8,2.31,2,7.6,6.9,Female,Alexandria,1
21.1,73.0,2.09,1,9.2,2.1,Male,Alexandria,1
22.4,83.2,3.24,1,7.1,1.6,Female,Alexandria,1
17.7,63.0,2.66,5,8.5,4.2,Male,Alexandria,1
26.2,68.0,,5,6.5,3.6,Male,Alexandria,1
21.3,85.9,2.54,1,6.4,2.5,Female,Giza,1
12.7,75.1,2.98,1,6.2,2.2,Female,Cairo,1
14.4,83.4,2.35,3,6.8,3.1,Male,Alexandria,1
24.8,83.9,2.78,5,9.2,3.8,Female,Cairo,1
22.8,100.0,3.15,3,5.6,3.6,Female,Cairo,1
8.6,,2.83,5,9.0,2.0,Female,Giza,1
28.1,84.6,2.53,4,5.8,3.1,Female,Cairo,1
23.6,97.1,2.15,2,6.7,3.8,Male,Alexandria,1
28.1,77.2,2.9,1,8.0,3.6,Female,Cairo,1
17.7,81.6,3.01,4,7.8,0.0,Male,Alexandria,1
18.2,94.1,2.64,3,7.3,1.2,Male,Cairo,1
13.2,72.6,2.34,3,5.0,1.3,Male,Alexandria,0
35.2,82.2,3.13,0,7.4,2.2,Male,Giza,1
18.9,71.8,4.0,2,5.8,2.8,Male,Alexandria,1
29.5,86.2,2.62,4,10.1,3.9,Female,Alexandria,1
16.1,100.0,3.0,4,6.7,3.4,Male,Alexandria,1
21.0,77.5,3.03,3,7.2,,Male,Cairo,1
10.0,87.3,1.26,4,5.6,2.5,Female,Alexandria,1
17.7,76.0,2.87,4,6.4,5.1,Male,Cairo,0
25.9,73.5,2.38,1,5.5,1.6,Female,Cairo,1
12.5,72.6,3.63,4,8.2,3.0,Male,Alexandria,1
26.4,99.5,,5,6.7,18.6,Female,Giza,1
22.0,100.0,2.33,2,7.7,3.0,Female,Alexandria,1
13.7,89.8,2.67,0,6.2,0.0,Female,Alexandria,1
17.0,77.8,2.9,5,6.4,3.1,Female,Cairo,1
17.2,92.0,2.46,0,8.5,1.9,Female,Giza,1
19.7,81.7,2.77,0,5.8,2.3,Male,Cairo,1
16.8,,1.99,2,4.8,4.1,Male,Alexandria,1
15.0,87.9,2.66,1,7.5,3.2,Male,Alexandria,1
18.2,87.8,3.27,1,5.6,2.1,Female,Alexandria,1
13.8,91.1,3.98,5,6.5,3.8,Female,Cairo,1
12.3,79.2,3.22,2,8.1,3.2,Female,Cairo,1
19.7,81.0,2.96,0,6.0,2.7,Female,Cairo,1
25.3,67.8,3.51,2,8.1,3.0,Female,Cairo,1
10.8,80.6,3.41,1,6.2,2.9,Female,Alexandria,1
20.0,70.8,3.8,2,8.8,2.0,Female,Cairo,1
16.1,83.6,3.45,5,8.6,1.8,Female,Cairo,1
